timestamp,da_price,rt_price,province,node
2023-01-01 00:00:00+08:00,214.69,236.3,shandong,SD_UNIFIED
2023-01-01 01:00:00+08:00,187.02,161.26,shandong,SD_UNIFIED
2023-01-01 02:00:00+08:00,187.74,238.6,shandong,SD_UNIFIED
2023-01-01 03:00:00+08:00,205.23,143.81,shandong,SD_UNIFIED
2023-01-01 04:00:00+08:00,185.11,228.77,shandong,SD_UNIFIED
2023-01-01 05:00:00+08:00,200.09,198.73,shandong,SD_UNIFIED
2023-01-01 06:00:00+08:00,266.28,296.36,shandong,SD_UNIFIED
2023-01-01 07:00:00+08:00,280.03,290.94,shandong,SD_UNIFIED
2023-01-01 08:00:00+08:00,300.27,310.65,shandong,SD_UNIFIED
2023-01-01 09:00:00+08:00,335.47,352.1,shandong,SD_UNIFIED
2023-01-01 10:00:00+08:00,300.39,324.66,shandong,SD_UNIFIED
2023-01-01 11:00:00+08:00,285.36,275.49,shandong,SD_UNIFIED
2023-01-01 12:00:00+08:00,254.55,285.59,shandong,SD_UNIFIED
2023-01-01 13:00:00+08:00,196.51,163.98,shandong,SD_UNIFIED
2023-01-01 14:00:00+08:00,215.26,215.1,shandong,SD_UNIFIED
2023-01-01 15:00:00+08:00,253.46,278.54,shandong,SD_UNIFIED
2023-01-01 16:00:00+08:00,274.43,304.28,shandong,SD_UNIFIED
2023-01-01 17:00:00+08:00,345.89,359.71,shandong,SD_UNIFIED
2023-01-01 18:00:00+08:00,336.46,324.65,shandong,SD_UNIFIED
2023-01-01 19:00:00+08:00,311.4,338.3,shandong,SD_UNIFIED
2023-01-01 20:00:00+08:00,338.93,318.85,shandong,SD_UNIFIED
2023-01-01 21:00:00+08:00,275.17,327.71,shandong,SD_UNIFIED
2023-01-01 22:00:00+08:00,251.06,248.52,shandong,SD_UNIFIED
2023-01-01 23:00:00+08:00,191.29,145.1,shandong,SD_UNIFIED
2023-01-02 00:00:00+08:00,228.11,192.27,shandong,SD_UNIFIED
2023-01-02 01:00:00+08:00,225.88,227.19,shandong,SD_UNIFIED
2023-01-02 02:00:00+08:00,178.6,182.79,shandong,SD_UNIFIED
2023-01-02 03:00:00+08:00,214.48,273.57,shandong,SD_UNIFIED
2023-01-02 04:00:00+08:00,209.16,178.0,shandong,SD_UNIFIED
2023-01-02 05:00:00+08:00,234.05,235.23,shandong,SD_UNIFIED
2023-01-02 06:00:00+08:00,262.01,230.23,shandong,SD_UNIFIED
2023-01-02 07:00:00+08:00,354.94,340.16,shandong,SD_UNIFIED
2023-01-02 08:00:00+08:00,363.97,414.49,shandong,SD_UNIFIED
2023-01-02 09:00:00+08:00,357.06,322.97,shandong,SD_UNIFIED
2023-01-02 10:00:00+08:00,383.62,401.23,shandong,SD_UNIFIED
2023-01-02 11:00:00+08:00,317.97,329.76,shandong,SD_UNIFIED
2023-01-02 12:00:00+08:00,298.69,297.97,shandong,SD_UNIFIED
2023-01-02 13:00:00+08:00,230.1,245.68,shandong,SD_UNIFIED
2023-01-02 14:00:00+08:00,262.57,227.77,shandong,SD_UNIFIED
2023-01-02 15:00:00+08:00,316.04,365.73,shandong,SD_UNIFIED
2023-01-02 16:00:00+08:00,364.02,421.76,shandong,SD_UNIFIED
2023-01-02 17:00:00+08:00,403.57,404.98,shandong,SD_UNIFIED
2023-01-02 18:00:00+08:00,414.45,487.15,shandong,SD_UNIFIED
2023-01-02 19:00:00+08:00,392.47,380.5,shandong,SD_UNIFIED
2023-01-02 20:00:00+08:00,329.54,341.55,shandong,SD_UNIFIED
2023-01-02 21:00:00+08:00,312.12,355.07,shandong,SD_UNIFIED
2023-01-02 22:00:00+08:00,282.96,269.19,shandong,SD_UNIFIED
2023-01-02 23:00:00+08:00,283.37,241.93,shandong,SD_UNIFIED
2023-01-03 00:00:00+08:00,248.98,200.63,shandong,SD_UNIFIED
2023-01-03 01:00:00+08:00,181.84,243.66,shandong,SD_UNIFIED
2023-01-03 02:00:00+08:00,213.26,197.39,shandong,SD_UNIFIED
2023-01-03 03:00:00+08:00,196.6,191.03,shandong,SD_UNIFIED
2023-01-03 04:00:00+08:00,207.37,173.98,shandong,SD_UNIFIED
2023-01-03 05:00:00+08:00,255.28,283.73,shandong,SD_UNIFIED
2023-01-03 06:00:00+08:00,300.39,276.94,shandong,SD_UNIFIED
2023-01-03 07:00:00+08:00,333.3,318.56,shandong,SD_UNIFIED
2023-01-03 08:00:00+08:00,344.57,353.55,shandong,SD_UNIFIED
2023-01-03 09:00:00+08:00,374.65,342.73,shandong,SD_UNIFIED
2023-01-03 10:00:00+08:00,372.08,366.72,shandong,SD_UNIFIED
2023-01-03 11:00:00+08:00,369.59,411.66,shandong,SD_UNIFIED
2023-01-03 12:00:00+08:00,282.52,295.37,shandong,SD_UNIFIED
2023-01-03 13:00:00+08:00,271.79,275.71,shandong,SD_UNIFIED
2023-01-03 14:00:00+08:00,267.78,274.23,shandong,SD_UNIFIED
2023-01-03 15:00:00+08:00,283.3,271.62,shandong,SD_UNIFIED
2023-01-03 16:00:00+08:00,365.76,425.64,shandong,SD_UNIFIED
2023-01-03 17:00:00+08:00,431.42,407.05,shandong,SD_UNIFIED
2023-01-03 18:00:00+08:00,415.48,421.81,shandong,SD_UNIFIED
2023-01-03 19:00:00+08:00,423.13,426.58,shandong,SD_UNIFIED
2023-01-03 20:00:00+08:00,372.79,403.05,shandong,SD_UNIFIED
2023-01-03 21:00:00+08:00,313.87,346.97,shandong,SD_UNIFIED
2023-01-03 22:00:00+08:00,302.28,301.32,shandong,SD_UNIFIED
2023-01-03 23:00:00+08:00,294.68,303.4,shandong,SD_UNIFIED
2023-01-04 00:00:00+08:00,240.06,249.92,shandong,SD_UNIFIED
2023-01-04 01:00:00+08:00,260.05,191.88,shandong,SD_UNIFIED
2023-01-04 02:00:00+08:00,144.08,96.41,shandong,SD_UNIFIED
2023-01-04 03:00:00+08:00,224.96,206.81,shandong,SD_UNIFIED
2023-01-04 04:00:00+08:00,225.32,208.47,shandong,SD_UNIFIED
2023-01-04 05:00:00+08:00,233.87,197.9,shandong,SD_UNIFIED
2023-01-04 06:00:00+08:00,278.31,300.8,shandong,SD_UNIFIED
2023-01-04 07:00:00+08:00,264.7,264.76,shandong,SD_UNIFIED
2023-01-04 08:00:00+08:00,359.13,352.69,shandong,SD_UNIFIED
2023-01-04 09:00:00+08:00,390.31,352.63,shandong,SD_UNIFIED
2023-01-04 10:00:00+08:00,399.02,397.69,shandong,SD_UNIFIED
2023-01-04 11:00:00+08:00,334.48,255.68,shandong,SD_UNIFIED
